Age,Number of Dependents,Number of Referrals,Monthly Charge,Family_Status,Discounted_Plan,City_Frequency,Senior Citizen_True,Married_True,Offer_Offer A,Offer_Offer B,Offer_Offer C,Offer_Offer D,Offer_Offer E,Internet Type_DSL,Internet Type_Fiber Optic,Internet Type_No Internet,Online Security_Yes,Premium Tech Support_Yes,Contract_One Year,Contract_Two Year,Paperless Billing_Yes,Payment Method_Credit Card,Payment Method_Mailed Check,Churn_Label_Encoded,Charge_Segment,Age_Segment,City_Size_Category,City_Frequency_Category,City
78,0,0,39.65,0,0,293,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Low Spend (<40),Senior (55+),Large,High,Los Angeles
74,1,1,80.65,1,0,293,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Los Angeles
71,3,0,95.45,0,0,293,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Los Angeles
78,1,1,98.5,1,0,25,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,Inglewood
80,1,1,76.5,1,0,30,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,Whittier
72,1,0,78.05,0,0,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Small,Low,Pico Rivera
76,2,1,70.45,1,0,5,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,Mid Spend (40-80),Senior (55+),Small,Low,Los Alamitos
66,0,6,45.3,0,0,5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Small,Low,Sierra Madre
70,2,0,74.45,0,0,30,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,Mid Spend (40-80),Senior (55+),Large,High,Pasadena
77,2,0,76.45,0,0,30,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,Pasadena
78,1,0,95.0,0,0,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,North Hollywood
65,0,0,74.4,0,0,15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Medium,Medium,Covina
77,0,1,40.2,0,0,10,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Medium,Medium,El Monte
67,0,0,41.15,0,0,9,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Medium,Medium,La Puente
68,0,0,106.9,0,0,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Small,Low,Rowland Heights
68,0,0,94.45,0,0,15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Medium,Medium,Ontario
66,0,0,74.5,0,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Small,Low,Alpine
69,0,0,76.1,0,0,285,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Diego
74,0,0,95.45,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
76,0,2,74.9,0,0,285,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Diego
77,0,1,93.15,0,0,285,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
70,0,0,82.45,0,0,285,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
74,0,0,70.35,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Diego
77,0,0,41.9,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Large,High,San Diego
71,0,0,30.75,0,0,285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,Low Spend (<40),Senior (55+),Large,High,San Diego
79,0,1,19.95,0,1,285,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,Low Spend (<40),Senior (55+),Large,High,San Diego
66,0,2,85.45,0,0,285,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
77,0,0,81.35,0,0,285,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,High Spend (>80),Senior (55+),Large,High,San Diego
80,0,0,75.3,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,Mid Spend (40-80),Senior (55+),Very Small,Very Low,Thermal
